"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08"
102001,"United States",0,173800,174000,174400,174800,175200,175700,176200,176800,177500,178200,178900,179500,180000,180600,181100,181600,182000,182400,182800,183200,183600,184100,184400,184700,185200,185800,186500,187300,188300,189400,190500,191500,192600,193700,194600,195500,196500,197600,198700,200000,201300,202700,204300,205800,207600,209500,211300,212800,214200,215500,216700,217800,218800,219900,221100,222200,223500,224800,226000,227300,228500,229700,230900,232200,233400,234700,236000,237300,238600,239900,241300,242600,243800,245000,246200,247300,248500,249800,251200,252600,254200,255700,257200,258700,260200,261800,263400,265000,266700,268500,270400,272500,274600,277000,279400,282000,284700,287500,290500,293700,296800,299900,303100,306100,309000,311800,314800,318000,321700,325400,329300,333100,336800,340300,343500,346600,349400,352000,354100,356100,358100,359900,361400,362500,363100,363500,363600,363600,363600,363700,363700,363500,363300,362700,361800,360500,358900,357200,355200,353000,350600,348100,345300,342400,339600,336800,333800,330900,328100,325400,323000,320600,318400,316400,314300,312000,309600,306900,304300,302300,300900,299900,299300,298800,298400,298200,298700,298300,296700,295400,294700,293500,291900,290400,288900,287400,285700,284100,282600,281600,280800,280000,279200,278600,278000,277500,277000,276900,277000,277000,276900,277200,278000,278900,279800,280700,281900,282900,283800,284900,286400,287700,288800,290200,292100,294100,296100,298300,300400,302300,304100,305500,306600,307700,308900,310100,311300,312700,314000,315300,316600,317800,318800,319800,320800,321700,322600,323600,324800,326300,327800,329000,330200,331500,332700,333700,334900,336100,337300,338600,340400,342100,343600,345100,346900,348500,350200,351900,353600,355100,356600,358300,360000,361500,362500,363400,364300,365400,366500,367500,368900,370800,373000,374700,376000,377300,378500,379800,381100,382500,384200,386100,388000,390000,391800,392500,392500,392400,392800,393200,393300
394913,"New York, NY",1,267100,267100,267100,267000,266900,266800,266900,267200,267700,268500,269200,269700,270300,270900,271500,272200,273000,273900,275000,276200,277800,279500,281000,282300,283600,285100,286700,288400,290300,292300,294400,296500,298900,301500,303900,306400,309200,312300,315600,319100,322500,326000,329400,332900,336800,341000,345200,349200,353400,357500,361600,365600,369600,373400,377200,381000,385000,389200,393500,397700,401900,406200,410400,414600,418800,422900,427100,431300,435200,438800,441900,444600,447200,450000,453200,456800,460900,465300,470200,475500,481200,487400,493900,500700,507500,513600,519300,524600,529500,533900,538100,542300,546600,551200,555900,561000,566500,572400,578900,586000,593500,601300,609000,616500,623800,630600,637000,643400,650000,656600,663000,669300,675400,681500,687300,692600,697700,702100,705800,709100,712300,714700,716200,716800,716300,715000,712900,710400,708100,706200,704500,703400,702500,700900,698700,696300,694200,692700,691300,689900,688600,687200,685100,683100,680700,677200,672900,668300,663700,659400,655400,651300,647600,644000,640200,636700,633000,628400,623300,619100,616100,614300,613600,613600,613400,613700,615400,614400,610000,607600,608300,608300,607100,604600,602200,600200,597800,594900,592200,590400,590500,591200,591700,591800,591700,591700,591300,590200,588900,587700,586300,585700,586000,586800,587500,588500,589000,589500,590100,591200,592300,593400,594800,596900,599400,601500,603300,606000,609000,611300,613500,616200,619800,623100,625100,626600,628900,631400,633300,635300,638300,641500,644000,646300,648600,651100,653400,655400,657100,658800,661000,664000,667200,670000,672100,673200,674400,676100,678100,680100,681900,683200,684100,685400,687600,689600,691400,694400,698500,702000,704200,707200,711600,716800,721900,726100,729500,733300,736200,737100,738000,741200,745000,748100,750700,752800,754500,755400,755200,755700,757800,759400,759800,760100,762200,763800,763900,763300,762200,759900,758100
753899,"Los Angeles-Long Beach-Anaheim, CA",2,289800,289800,289700,289700,289800,290000,290500,291200,292300,293600,294700,295600,296600,297900,299500,301500,303900,306600,309800,313400,317700,322300,326600,330600,334400,338000,341400,344900,348300,351700,355200,358900,362900,366900,370600,373700,376700,379400,382000,384400,386600,388800,391200,393800,396900,400400,403800,406900,410000,413300,416500,419800,423100,426400,429900,433500,437400,441400,445300,448900,452500,455800,459100,462200,465400,468600,472100,475700,479500,483600,487900,492700,497800,503600,510100,517200,524700,532600,540900,549200,557400,565100,572500,580100,588000,596200,605100,614700,625000,635700,646900,658400,670500,683600,697800,713500,730400,747600,764300,779400,792300,803100,812200,820000,827200,834400,841300,848200,854900,861300,867900,875000,882400,890000,897300,904100,910100,915600,920400,924800,928300,930500,931300,930300,927200,923000,918400,913600,909200,905200,901000,896000,890100,883500,876200,868100,859200,850500,842200,834100,825600,816400,806100,795000,783300,772400,763300,756600,751900,748600,745800,743400,741600,739800,737100,733200,728100,722400,718300,717700,719500,722100,725000,727900,730000,731600,732600,731000,730300,731600,730600,726100,723300,720600,716700,711700,707000,702600,699100,696800,694600,691600,689900,688900,686000,682200,679600,678200,677600,676900,676800,678800,682600,687700,692500,697100,701600,707300,714300,722900,731600,740100,750300,764300,779500,793200,805500,815600,823100,828300,831900,834000,835000,836700,840300,844400,847500,850600,853800,857100,859700,862100,864400,867300,871200,876000,881100,885800,890100,894000,898000,902400,906900,912500,918300,923800,930100,935600,938100,940200,942700,944300,947000,951800,958000,964400,969700,974400,980500,986900,991900,995600,999500,1004300,1010000,1015700,1022200,1029300,1036100,1042400,1049700,1061200,1074500,1083600,1089000,1094300,1100100,1105600,1110700,1114500,1119400,1123800,1128000,1131400,1132000,1128200,1125200,1123600,1120500,1117900,1118500
394463,"Chicago, IL",3,221900,222800,223400,223500,223000,222100,220900,219300,218000,217000,215800,214300,212900,211600,210200,208800,207300,206100,205700,206100,207800,210300,213000,215500,218200,220900,223700,226700,229600,232500,235200,237400,239300,240900,241800,242000,242400,242900,243700,244700,246100,247700,249500,251500,253900,256700,259300,261700,264200,266800,269400,272000,274700,277200,279500,281600,283500,285400,287000,288300,289600,290900,292300,293900,295700,297600,299600,301600,303600,305500,307400,309200,311000,312900,314700,316400,318100,319800,321500,323300,325100,326900,328600,330400,332200,333900,335600,337300,339100,340800,342700,344600,346700,348900,351100,353400,355800,358200,360800,363600,366300,369100,371900,374700,377400,380100,382700,385500,388500,391600,394600,397600,400500,403400,406200,408800,411300,413500,415400,417400,419600,421300,422600,423700,424300,424800,425100,425200,425500,425700,425600,425200,424800,423700,422100,420600,419000,417700,416400,414900,413000,410800,408000,405100,402300,399100,395500,391700,387800,384400,381400,378400,375600,372900,370000,366700,363100,358600,354300,351200,349400,348200,347400,346900,345900,345700,347100,346300,342700,340700,339900,337500,334500,331200,327900,325100,322400,320500,319400,318000,316400,314900,313400,312700,312300,311100,309700,308800,308500,307000,304400,303200,304100,305500,307000,307700,308400,309700,310900,311700,312800,313700,314500,316400,319100,321600,324500,328500,331900,334300,335900,336700,337500,338600,339500,340400,342100,343900,345600,347300,348700,349400,349500,349700,350100,350400,350500,351200,352700,354000,354700,355200,355800,356600,357700,358800,359300,359500,359900,360700,361700,362800,364000,364600,365400,366300,367400,368500,369800,371000,371900,372600,373300,373800,373900,373800,373800,374200,375100,375800,376200,377900,380900,382900,383400,383600,383300,382600,382400,382500,382800,383400,384200,385200,386400,387000,386600,385400,384000,382400,381200
394514,"Dallas-Fort Worth, TX",4,217300,217600,218200,218800,219400,219900,220100,219800,219000,217600,216100,214900,214100,213800,214000,214500,215200,216400,217900,219800,222100,224700,226900,228300,228400,227500,226000,224600,223500,223200,223900,225800,229000,233000,236900,240100,242200,243200,243200,242600,241500,240300,239400,239000,239300,240200,241200,242100,242800,243200,243500,243800,244200,244700,245200,245700,246300,246800,247100,247300,247300,247200,247100,246800,246300,245500,244500,243200,241800,240400,239300,238600,238600,239000,239800,240700,241700,242500,243000,243200,242800,242100,241100,240200,239600,239500,239600,239900,240100,240300,240500,240700,241100,242100,243600,245400,247000,248400,249500,250400,251300,252400,253600,254900,256200,257400,258400,259500,260700,262000,263500,264800,266000,267000,268000,268900,270000,271100,272300,273400,274400,275300,276000,276700,277300,277900,278400,278800,279100,279100,279000,279100,279300,279600,280100,280700,281300,281800,282300,282500,282200,281400,280200,278800,277200,275700,274400,273400,272600,272000,271300,270800,270200,269700,269200,268700,268000,267200,266500,266100,265900,265800,265700,265700,265700,265600,265800,265700,265300,265100,264800,264300,264200,264100,263700,263100,262900,262800,262400,261700,261200,261200,261300,260900,260400,260400,260700,260800,260800,261000,261200,262000,263100,264200,264800,265300,265600,265600,265900,266700,267500,268200,268700,269700,270900,272400,273900,275700,277500,279000,280400,281800,283100,284300,285600,287000,288200,289100,290500,292500,294800,297000,298800,300200,301900,303600,305200,307100,309600,312100,314400,316400,318400,320400,322500,324600,326800,328700,330800,333500,336700,340000,344000,348200,351800,354600,357400,360000,362500,364900,367200,369300,371600,373500,375000,376700,378700,380600,382200,383200,384200,386500,389900,392700,394400,396000,396600,396400,396000,396300,397600,399800,403000,406300,408300,408100,406800,405400,404600,403900,403600
394974,"Philadelphia, PA",5,186900,186600,186300,185900,185600,185400,185400,185500,185800,186200,186500,186800,187000,187300,187400,187500,187600,187700,187900,188200,188500,188900,189400,189800,190100,190500,190900,191300,191800,192200,192800,193500,194200,195100,195800,196500,197400,198400,199500,200800,202100,203600,205100,206700,208500,210400,212200,213900,215500,217000,218500,219900,221200,222600,223900,225400,227000,228800,230600,232500,234200,235900,237700,239400,241000,242700,244400,246300,248200,250200,252300,254500,256800,259100,261600,264200,266900,269800,272900,276100,279300,282300,285200,287900,290800,293600,296500,299600,302800,306100,309300,312500,315500,318600,321800,325300,328900,332700,336700,340500,344200,347700,350900,354100,357300,360400,363400,366300,369200,372200,375400,378700,382200,385500,388600,391400,394000,396200,398200,400100,401900,403300,404400,405200,405800,405900,405800,405500,405200,405000,404700,404500,404400,404100,403400,402500,401500,400400,399100,397600,396000,394300,392300,390500,389100,387600,386000,384500,382900,381100,379600,378000,376700,375600,374300,372800,371300,369200,366900,365000,363600,362600,362000,361900,361400,361200,362300,361900,359700,358600,358300,356800,354700,353000,351600,349900,348100,346700,345300,344100,343200,342300,341100,339800,338700,337800,337100,337000,336800,335900,335200,335500,335800,335500,335300,335400,335600,335800,335800,336000,336600,337200,337700,338400,339400,340400,341600,343100,345000,346800,348400,349300,350400,351500,351900,351800,352600,354100,355200,356200,357300,358200,358900,359200,359400,359300,359100,359300,360400,361400,362100,363100,363700,363900,364300,364600,365000,365900,367100,368200,368800,369200,370100,371500,372900,373900,374700,375100,375300,375900,377200,378200,379400,381200,382900,383800,384500,385400,386500,388600,391400,393600,394700,395400,396100,396900,397900,398900,400000,400800,401600,402500,403800,405000,406500,407500,407800,407400,407300,407700,407900
394692,"Houston, TX",6,,,,,,,,,,,,,,,,,204200,206500,209200,212200,215300,218100,220100,221000,221000,220200,218900,217700,217000,217400,219400,223200,229200,236500,243800,250300,255000,257500,258300,257800,256300,254300,252000,250600,251000,253700,258300,263700,268900,272800,274900,274900,273100,269800,265700,261400,257500,254200,251400,249000,247000,245400,244300,243600,243400,243600,243800,243700,243200,242200,240700,239100,238000,237700,238000,238700,239600,240600,241400,241900,241800,241400,240800,240100,239400,239100,239000,239300,239800,240400,241000,241500,241700,241800,242000,242500,243300,244400,245800,247300,248900,250700,252500,254400,256400,258200,259700,260900,261800,262400,262800,263100,263400,263600,263700,263800,264000,264200,264500,264900,265400,266100,266900,267900,268900,270100,271300,272500,273600,274500,275100,275400,275800,276100,276500,276900,277300,277600,277900,278100,277800,277100,275900,274400,273000,271700,270600,269800,269400,269000,268500,268100,267900,267600,267200,266800,266500,266200,265800,265800,265900,266100,266300,266500,266600,266700,266700,266700,266600,266300,265900,265100,264200,263700,263300,262500,261300,260700,260600,260700,260800,261200,261300,260900,260400,259800,259500,259800,259900,260000,260500,260700,260600,260700,261200,262100,263200,264000,264400,264900,265700,266700,267900,269200,270500,272200,274500,277000,279400,281600,283700,285500,287300,288900,290300,292000,294100,296000,297900,299900,302000,304000,306100,308500,311000,313000,314400,316200,318600,320900,322800,324700,326600,328300,329600,330600,332000,333500,334700,336000,337600,339300,340800,341900,342900,343800,344800,345600,346300,347100,347600,347700,348300,348700,348900,348900,349200,349700,350200,350500,350900,352000,354000,356200,357700,358500,359200,359900,360500,360700,361200,362000,363400,365000,366100,366000,365700,365600,365700,365300,365100
395209,"Washington, DC",7,263300,263000,262500,262000,261600,261400,261500,261800,262400,263100,263400,263300,262900,262600,262400,262300,262400,262700,263100,263600,264200,265000,265500,266000,266600,267400,268400,269400,270600,271800,272900,274100,275400,276900,278200,279400,280800,282400,284200,286200,288300,290700,293400,296200,299400,302800,306100,309000,312000,315000,318100,321500,325200,329200,333500,338000,342700,347400,352000,356500,361000,365400,369800,374000,378200,382500,386700,391100,395500,399900,404300,408400,412500,416500,420400,424200,428100,431900,435900,439900,443900,448100,452300,456600,460900,465200,469500,473900,478500,483400,488700,494300,500300,506600,513500,521200,530100,540000,551100,563100,575100,586800,598000,608500,618700,628700,638400,648400,658800,668600,677400,684800,690500,694700,697400,698900,699500,699400,698800,697600,695600,692700,689300,685200,680800,676700,673100,670100,668000,666700,665500,664100,662400,659600,656000,651800,647200,642500,637600,632300,627200,622200,616800,611200,605400,599300,593400,588400,584400,581300,578800,576500,574700,573200,570900,567800,563800,558800,554600,552800,553300,555100,557500,560100,560900,562000,564100,564900,564200,565800,568300,569400,569500,569300,568300,566700,565900,565000,562900,561400,561900,563700,565400,566300,566700,566500,565700,565200,564300,562900,563000,566100,569900,573100,575800,578400,580100,580900,582100,584400,587800,591200,594100,596900,600700,604500,607900,611600,615200,618100,620400,622800,625400,627100,628300,629700,631000,631700,632300,632800,632900,633000,634600,635400,635000,636000,638600,640000,640100,640100,640600,641700,642600,643200,643800,644500,645100,645000,644400,645400,647600,649500,651200,652400,653000,654600,657300,660200,663200,666000,667600,668700,669900,671300,672300,672700,673500,675100,676000,676400,677800,681800,686700,690100,691000,691400,691800,692400,693600,695200,696600,697800,699800,702200,704200,704900,704500,703300,701700,700500,701000
394856,"Miami-Fort Lauderdale, FL",8,179000,179000,178800,178700,178500,178400,178400,178600,179100,179600,180100,180200,180400,180500,180600,180800,181000,181400,182000,182800,183800,185000,186000,186500,186800,186800,186700,186700,186800,187200,187800,188500,189300,190300,191100,191700,192400,193100,193900,194700,195600,196500,197500,198700,200100,201700,203400,204900,206500,208000,209500,210900,212400,214000,215900,218000,220700,224000,228300,233900,241300,250100,260100,270800,281400,291100,299600,306600,312000,315800,317900,318100,316600,313900,310400,306500,303000,300300,298700,298400,299500,301700,304700,308100,311600,315100,318500,321800,325100,328600,332100,335700,339400,343200,347100,351300,355800,360900,366500,372900,379700,386900,394500,402400,410700,419400,428100,437100,446900,456900,467000,476900,486000,494100,501100,507300,512900,517900,522600,527700,532600,536800,539900,541700,542100,541500,540200,538300,536200,533900,531100,527600,523700,519200,514100,508500,502200,495500,488300,480500,471800,462500,452500,442000,431500,421500,412000,403700,396300,389200,382100,374900,368100,361900,355500,348700,341700,334500,328100,324000,321800,320600,320100,319900,319900,320400,321100,320200,318300,317200,316800,315300,312500,309700,308300,307700,306600,304800,303800,304400,305900,307100,307600,307500,307600,308400,309200,309400,309500,309900,310900,311900,312900,314400,315600,316200,317200,318400,319100,320800,323800,326500,329200,332700,337200,341700,346000,350400,354900,358500,361400,364900,368100,370700,373500,376900,380000,382600,385800,389600,392900,395100,396300,397300,398600,400100,401600,403800,406600,409200,411300,413200,415200,417800,420600,422500,424400,426600,428300,429900,432100,434600,436800,438900,440600,442800,446300,449700,452600,454700,455400,455200,455500,455900,456100,457000,458300,459700,460800,461400,462600,466500,471500,475100,477300,479300,481100,482200,483200,484500,486200,487300,488900,490900,492200,491300,488700,486500,486800,488200,489200
394347,"Atlanta, GA",9,181700,182300,183100,183800,184600,185400,186300,187000,187800,188600,189300,189800,190400,191000,191800,192600,193600,194500,195500,196500,197500,198500,199500,200300,201300,202500,203800,205300,206800,208400,210000,211600,213300,214900,216600,218200,220000,221900,223800,225800,227600,229400,231200,232900,234800,236700,238500,240200,241800,243500,245000,246600,248200,249800,251400,253000,254600,256200,257600,258800,259700,260500,261200,261800,262400,263100,263900,264900,266000,267200,268500,269600,270500,271300,271800,272200,272600,273100,273800,274700,275700,276700,277500,278300,278900,279400,279800,280300,280900,281600,282500,283300,284100,284800,285600,286800,288300,290000,291900,293800,295600,297200,298600,299600,300500,301600,302800,304400,306300,308300,310400,312400,314500,316500,318500,320600,322800,324700,326400,328000,329600,331100,332700,334400,336100,337600,339000,340100,341300,342500,343400,344200,345100,345400,345300,345200,345000,344700,344200,343400,342300,340900,339100,337300,335600,333500,331000,328300,325400,322600,320100,317600,315300,313100,310600,307900,305100,301700,298300,295900,294400,293400,292600,292000,290900,290400,291300,290300,287400,285700,284900,283000,281000,278500,275700,273300,271400,269100,266300,264100,262800,261700,260600,259600,258000,256000,254500,253500,252700,252100,251900,252400,253100,253900,254900,256100,257800,260200,262400,264200,266000,267900,269900,272100,274700,277400,280100,282800,285100,287500,289800,291800,293800,295700,297700,300300,303000,305100,307300,309800,312000,313600,315200,317000,318400,319100,319500,320300,321900,323700,325200,326400,327600,328200,328800,329300,330400,332000,334000,336300,339200,342200,345300,348700,351900,355000,358100,360800,363400,365900,367700,369300,370700,371500,371800,372200,373300,375000,376400,377600,379700,383400,387300,389600,391400,393600,395200,395700,395800,396700,399400,402400,404700,406500,407900,408100,407300,406100,405000,404700,405500
